model,fold,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
yolo26s,1,21,A18_KC-10,16,48,0.944,1.0,0.056,0.971193,0.956,0.87
yolo26s,1,22,A19_SU-34,57,200,0.939,0.97,0.061,0.954248,0.98,0.89
yolo26s,1,23,A20_SU-24,40,164,0.988,0.982,0.012,0.984991,0.991,0.875
yolo26s,1,24,FSC,14,65,0.63,0.602,0.37,0.615682,0.675,0.454
yolo26s,2,0,HM,29,29,0.905,0.862,0.095,0.882977,0.924,0.84
yolo26s,2,1,LQS,5,9,1.0,0.542,0.0,0.702983,0.794,0.689
yolo26s,2,2,QHS,40,135,0.828,0.818,0.172,0.82297,0.871,0.732
yolo26s,2,3,MS,240,463,0.902,0.91,0.098,0.905982,0.935,0.744
yolo26s,2,4,A1_SU-35,55,271,0.987,0.978,0.013,0.982479,0.993,0.92
yolo26s,2,5,A2_C-130,61,360,0.991,0.971,0.009,0.980898,0.992,0.93
yolo26s,2,6,A3_C-17,51,242,1.0,0.995,0.0,0.997494,0.995,0.908
yolo26s,2,7,A4_C-5,23,137,1.0,0.953,0.0,0.975934,0.988,0.927
yolo26s,2,8,A5_F-16,48,184,0.994,0.965,0.006,0.979285,0.993,0.873
yolo26s,2,9,A6_TU-160,19,89,0.993,0.978,0.007,0.985443,0.985,0.906
yolo26s,2,10,A7_E-3,31,99,0.971,0.998,0.029,0.984315,0.994,0.948
yolo26s,2,11,A8_B-52,33,153,0.98,0.981,0.02,0.9805,0.993,0.952
yolo26s,2,12,A9_P-3C,36,207,0.982,0.971,0.018,0.976469,0.992,0.945
yolo26s,2,13,A10_B-1B,31,136,0.984,1.0,0.016,0.991935,0.995,0.938
yolo26s,2,14,A11_E-8,29,107,0.973,0.972,0.027,0.9725,0.994,0.95
yolo26s,2,15,A12_TU-22,37,109,0.963,0.991,0.037,0.976799,0.995,0.877
yolo26s,2,16,A13_F-15,42,291,0.983,0.968,0.017,0.975442,0.993,0.89
yolo26s,2,17,A14_KC-135,72,357,0.989,0.992,0.011,0.990498,0.991,0.934
yolo26s,2,18,A15_F-22,22,99,0.965,0.99,0.035,0.97734,0.991,0.884
yolo26s,2,19,A16_FA-18,48,464,0.987,0.985,0.013,0.985999,0.995,0.954
yolo26s,2,20,A17_TU-95,60,216,0.995,0.976,0.005,0.985408,0.994,0.915
yolo26s,2,21,A18_KC-10,18,65,1.0,0.969,0.0,0.984256,0.985,0.938
yolo26s,2,22,A19_SU-34,56,210,0.938,0.976,0.062,0.956623,0.977,0.879
yolo26s,2,23,A20_SU-24,40,162,0.981,0.966,0.019,0.973442,0.984,0.88
yolo26s,2,24,FSC,14,70,0.684,0.629,0.316,0.655348,0.677,0.492
yolo26s,3,0,HM,26,26,0.911,0.962,0.089,0.935806,0.992,0.911
yolo26s,3,1,LQS,5,5,1.0,0.798,0.0,0.887653,0.833,0.799
yolo26s,3,2,QHS,46,174,0.709,0.839,0.291,0.768541,0.831,0.683
