epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,2393.63,0.78768,0.43303,0.00431,0.94259,0.90806,0.94073,0.84689,0.48902,0.32742,0.0032,0.00911874,0.00303958,0.00911874,0.00303958,0.00911874,0.00303958,0.00911874,0.00303958
67,2430,0.7917,0.42737,0.0043,0.94562,0.90896,0.94038,0.84497,0.48738,0.32306,0.00319,0.00896631,0.00298877,0.00896631,0.00298877,0.00896631,0.00298877,0.00896631,0.00298877
68,2466.59,0.79035,0.4213,0.00429,0.9494,0.91926,0.94251,0.85,0.49,0.32007,0.00318,0.00881326,0.00293775,0.00881326,0.00293775,0.00881326,0.00293775,0.00881326,0.00293775
69,2503.19,0.77689,0.41399,0.00425,0.94399,0.91247,0.93896,0.84743,0.48288,0.32317,0.00315,0.00865967,0.00288656,0.00865967,0.00288656,0.00865967,0.00288656,0.00865967,0.00288656
70,2539.89,0.76704,0.41169,0.00423,0.9369,0.90742,0.94213,0.84984,0.4858,0.32371,0.00317,0.0085056,0.0028352,0.0085056,0.0028352,0.0085056,0.0028352,0.0085056,0.0028352
71,2576.47,0.78639,0.42202,0.00423,0.93425,0.90191,0.94206,0.84778,0.48895,0.32672,0.00319,0.00835112,0.00278371,0.00835112,0.00278371,0.00835112,0.00278371,0.00835112,0.00278371
72,2612.55,0.76879,0.40893,0.00419,0.93563,0.90068,0.9393,0.84591,0.48472,0.32929,0.00317,0.00819631,0.0027321,0.00819631,0.0027321,0.00819631,0.0027321,0.00819631,0.0027321
73,2648.17,0.76587,0.40274,0.00425,0.93687,0.90003,0.94036,0.85085,0.48103,0.33329,0.00314,0.00804122,0.00268041,0.00804122,0.00268041,0.00804122,0.00268041,0.00804122,0.00268041
74,2684.09,0.76798,0.41098,0.00421,0.93658,0.8974,0.93982,0.85026,0.47876,0.32882,0.00314,0.00788593,0.00262864,0.00788593,0.00262864,0.00788593,0.00262864,0.00788593,0.00262864
75,2720.44,0.76864,0.40334,0.00421,0.9454,0.89805,0.94176,0.85168,0.47735,0.3255,0.00313,0.0077305,0.00257683,0.0077305,0.00257683,0.0077305,0.00257683,0.0077305,0.00257683
76,2756.46,0.75772,0.39924,0.00421,0.92991,0.91934,0.94252,0.85272,0.47707,0.32421,0.00313,0.007575,0.002525,0.007575,0.002525,0.007575,0.002525,0.007575,0.002525
77,2792.56,0.75944,0.40739,0.00417,0.9338,0.91562,0.94098,0.85237,0.4727,0.32055,0.00309,0.0074195,0.00247317,0.0074195,0.00247317,0.0074195,0.00247317,0.0074195,0.00247317
78,2829.53,0.76123,0.39819,0.00408,0.92301,0.91827,0.94187,0.8534,0.47166,0.32228,0.00308,0.00726407,0.00242136,0.00726407,0.00242136,0.00726407,0.00242136,0.00726407,0.00242136
79,2865.89,0.75346,0.39349,0.00413,0.95387,0.89736,0.93937,0.85147,0.47471,0.32254,0.0031,0.00710878,0.00236959,0.00710878,0.00236959,0.00710878,0.00236959,0.00710878,0.00236959
80,2902.33,0.75299,0.39316,0.0041,0.94909,0.90142,0.94094,0.85261,0.47659,0.32746,0.00311,0.00695369,0.0023179,0.00695369,0.0023179,0.00695369,0.0023179,0.00695369,0.0023179
81,2938.35,0.7481,0.38707,0.00411,0.95428,0.90068,0.93741,0.84905,0.47765,0.32837,0.00311,0.00679888,0.00226629,0.00679888,0.00226629,0.00679888,0.00226629,0.00679888,0.00226629
82,2974.2,0.74179,0.3889,0.00412,0.95358,0.90235,0.93474,0.84906,0.47341,0.32884,0.00309,0.0066444,0.0022148,0.0066444,0.0022148,0.0066444,0.0022148,0.0066444,0.0022148
83,3010.24,0.73684,0.38454,0.00407,0.95409,0.90418,0.93366,0.84929,0.47239,0.33132,0.00308,0.00649033,0.00216344,0.00649033,0.00216344,0.00649033,0.00216344,0.00649033,0.00216344
84,3046.63,0.74376,0.38433,0.00409,0.94465,0.90363,0.93458,0.84867,0.47251,0.33055,0.00307,0.00633674,0.00211225,0.00633674,0.00211225,0.00633674,0.00211225,0.00633674,0.00211225
85,3083.28,0.73351,0.37949,0.00403,0.94777,0.90177,0.9331,0.8465,0.4721,0.3314,0.00307,0.00618369,0.00206123,0.00618369,0.00206123,0.00618369,0.00206123,0.00618369,0.00206123
86,3119.93,0.73405,0.3817,0.004,0.95638,0.89637,0.93604,0.8489,0.47212,0.32837,0.00306,0.00603126,0.00201042,0.00603126,0.00201042,0.00603126,0.00201042,0.00603126,0.00201042
87,3156.39,0.72958,0.37553,0.00402,0.953,0.90167,0.93619,0.84856,0.4715,0.32759,0.00305,0.00587949,0.00195983,0.00587949,0.00195983,0.00587949,0.00195983,0.00587949,0.00195983
88,3192.9,0.73131,0.38104,0.004,0.94468,0.90558,0.9385,0.85145,0.473,0.32947,0.00306,0.00572848,0.00190949,0.00572848,0.00190949,0.00572848,0.00190949,0.00572848,0.00190949
89,3229.38,0.73239,0.38247,0.00398,0.94053,0.90478,0.93781,0.85001,0.47474,0.33167,0.00308,0.00557827,0.00185942,0.00557827,0.00185942,0.00557827,0.00185942,0.00557827,0.00185942
90,3266.31,0.72888,0.37415,0.00394,0.94002,0.90618,0.93855,0.85152,0.47515,0.33367,0.00308,0.00542894,0.00180965,0.00542894,0.00180965,0.00542894,0.00180965,0.00542894,0.00180965
91,3302.54,0.71894,0.36145,0.00394,0.94102,0.90389,0.93855,0.85103,0.47455,0.33124,0.00308,0.00528055,0.00176018,0.00528055,0.00176018,0.00528055,0.00176018,0.00528055,0.00176018
92,3339.44,0.72572,0.36732,0.00392,0.93198,0.91807,0.93954,0.85235,0.47492,0.33249,0.00308,0.00513317,0.00171106,0.00513317,0.00171106,0.00513317,0.00171106,0.00513317,0.00171106
93,3375.81,0.71733,0.36265,0.00396,0.93841,0.91728,0.93756,0.85084,0.47544,0.3288,0.00308,0.00498685,0.00166228,0.00498685,0.00166228,0.00498685,0.00166228,0.00498685,0.00166228
94,3412.52,0.71598,0.35986,0.00392,0.94903,0.90654,0.9377,0.85128,0.47447,0.32883,0.00308,0.00484168,0.00161389,0.00484168,0.00161389,0.00484168,0.00161389,0.00484168,0.00161389
95,3449.01,0.71482,0.36391,0.00386,0.94582,0.91342,0.94051,0.85486,0.47314,0.3267,0.00306,0.0046977,0.0015659,0.0046977,0.0015659,0.0046977,0.0015659,0.0046977,0.0015659
96,3484.64,0.71455,0.35674,0.00384,0.94663,0.91176,0.94071,0.85402,0.47364,0.32583,0.00307,0.00455498,0.00151833,0.00455498,0.00151833,0.00455498,0.00151833,0.00455498,0.00151833
97,3520.18,0.7056,0.36018,0.00387,0.94458,0.91446,0.93945,0.85196,0.47409,0.32803,0.00307,0.00441359,0.0014712,0.00441359,0.0014712,0.00441359,0.0014712,0.00441359,0.0014712
98,3556.36,0.70497,0.35399,0.00382,0.94453,0.91634,0.94058,0.85355,0.47504,0.32633,0.00308,0.00427358,0.00142453,0.00427358,0.00142453,0.00427358,0.00142453,0.00427358,0.00142453
99,3592.61,0.70172,0.3533,0.00379,0.94453,0.91133,0.94143,0.85431,0.47461,0.32728,0.00307,0.00413503,0.00137834,0.00413503,0.00137834,0.00413503,0.00137834,0.00413503,0.00137834
100,3628.81,0.71039,0.35996,0.00385,0.9448,0.91234,0.94076,0.85372,0.47448,0.32617,0.00307,0.00399798,0.00133266,0.00399798,0.00133266,0.00399798,0.00133266,0.00399798,0.00133266
101,3665.44,0.70182,0.34867,0.00379,0.94153,0.91499,0.93881,0.85126,0.47257,0.32674,0.00306,0.0038625,0.0012875,0.0038625,0.0012875,0.0038625,0.0012875,0.0038625,0.0012875
102,3701.42,0.69864,0.34854,0.00377,0.94399,0.91131,0.93879,0.85222,0.47243,0.32728,0.00306,0.00372865,0.00124288,0.00372865,0.00124288,0.00372865,0.00124288,0.00372865,0.00124288
103,3737.36,0.6903,0.34808,0.00379,0.94279,0.9138,0.94079,0.85449,0.47238,0.32849,0.00306,0.00359649,0.00119883,0.00359649,0.00119883,0.00359649,0.00119883,0.00359649,0.00119883
104,3773.65,0.6961,0.35188,0.00378,0.94013,0.91403,0.94048,0.85415,0.47226,0.33029,0.00306,0.00346607,0.00115536,0.00346607,0.00115536,0.00346607,0.00115536,0.00346607,0.00115536
