epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,4865.25,0.60019,0.2739,0.00325,0.96489,0.9261,0.94693,0.86653,0.45933,0.32072,0.00303,0.00542894,0.00180965,0.00542894,0.00180965,0.00542894,0.00180965,0.00542894,0.00180965
91,4919,0.59788,0.27631,0.00324,0.95793,0.9298,0.94743,0.8676,0.45901,0.31965,0.00302,0.00528055,0.00176018,0.00528055,0.00176018,0.00528055,0.00176018,0.00528055,0.00176018
92,4972.14,0.59789,0.27581,0.00325,0.96061,0.92817,0.947,0.86687,0.45849,0.3213,0.00302,0.00513317,0.00171106,0.00513317,0.00171106,0.00513317,0.00171106,0.00513317,0.00171106
93,5025.72,0.5922,0.27133,0.00323,0.95216,0.92008,0.94471,0.86596,0.45787,0.31723,0.00302,0.00498685,0.00166228,0.00498685,0.00166228,0.00498685,0.00166228,0.00498685,0.00166228
94,5078.56,0.58222,0.26826,0.00316,0.95565,0.91961,0.94548,0.86675,0.45865,0.31679,0.00302,0.00484168,0.00161389,0.00484168,0.00161389,0.00484168,0.00161389,0.00484168,0.00161389
95,5130.04,0.58261,0.27207,0.00316,0.95272,0.92081,0.94527,0.86647,0.45819,0.31883,0.00301,0.0046977,0.0015659,0.0046977,0.0015659,0.0046977,0.0015659,0.0046977,0.0015659
96,5184.1,0.5829,0.26721,0.00317,0.93594,0.93163,0.94456,0.86524,0.45878,0.32201,0.00301,0.00455498,0.00151833,0.00455498,0.00151833,0.00455498,0.00151833,0.00455498,0.00151833
97,5238.02,0.58377,0.26717,0.00313,0.93386,0.9333,0.94559,0.86615,0.45815,0.31967,0.00301,0.00441359,0.0014712,0.00441359,0.0014712,0.00441359,0.0014712,0.00441359,0.0014712
98,5291.53,0.58034,0.26575,0.00314,0.93662,0.93496,0.94518,0.86544,0.45871,0.31766,0.00301,0.00427358,0.00142453,0.00427358,0.00142453,0.00427358,0.00142453,0.00427358,0.00142453
99,5346.05,0.57041,0.26243,0.00307,0.96355,0.92504,0.9467,0.86709,0.45739,0.32125,0.003,0.00413503,0.00137834,0.00413503,0.00137834,0.00413503,0.00137834,0.00413503,0.00137834
100,5400.45,0.57263,0.26213,0.00309,0.9619,0.92425,0.94662,0.86825,0.45747,0.3216,0.003,0.00399798,0.00133266,0.00399798,0.00133266,0.00399798,0.00133266,0.00399798,0.00133266
